%  --- Type of this file
% --- 0 - data file: network structure, weights, data sequences are all provided
% --- 1 - network structure is provided; weights are not provided; initial states are not provided
0
% --- Number of nodes
5
% --- Size of sequence data: number of sequences, number of data points per sequence
5	9
% --- Lambda
5.000000 5.000000 5.000000 5.000000 5.000000
% --- Network Structure
% ----- Number of edges in the network
8
% ----- Edge list
1	2	1
1	4	1
1	5	1
2	3	1
3	1	1
3	4	1
4	3	1
5	2	1
% --- Data Sequence: time stamp, values for every node
0	0.007976657	0.003412394	0.030500993	0.016232173	0.006872258
20	0.029157281	0.018010724	0.047202268	0.029769937	0.020832792
40	0.078836088	0.028261856	0.033031814	0.010525262	0.021196943
60	0.01612005	0.006777646	0.014988502	0.005448217	0.017762765
80	0.035402621	0.009226505	0.018325546	0.012216713	0.040246301
100	0.041521432	0.007139308	0.014731008	0.01457864	0.021944451
120	0.023438109	0.006434305	0.014680043	0.013984767	0.048866853
140	0.043434944	0.015040538	0.015145153	0.009355302	0.045594386
160	0.063592481	0.011048543	0.026737345	0.004143311	0.023195681
% ---
0	0.005208198	0.002980975	0.020193013	0.010026765	0.00397453
20	0.013368672	0.002174652	0.009162773	0.004128977	0.006066163
40	0.011841536	0.004487103	0.012048522	0.005299236	0.008519592
60	0.011438169	0.006280086	0.011010318	0.005048253	0.012603777
80	0.017701311	0.005601388	0.010783729	0.009387782	0.01027299
100	0.016345077	0.007839623	0.010026765	0.005262631	0.02179287
120	0.022718321	0.013003105	0.01067219	0.00638986	0.026096497
140	0.014528202	0.020545981	0.012048522	0.009651708	0.034794426
160	0.017337023	0.018198962	0.009923055	0.009067999	0.020617311
% ---
0	0.006280086	0.004661468	0.021642335	0.020905118	0.010635267
20	0.021270533	0.004842608	0.015463385	0.01147788	0.009820417
40	0.020905118	0.004304317	0.013696964	0.007494251	0.020404059
60	0.03125	0.006872258	0.018010724	0.006456643	0.024348893
80	0.004726539	0.022561394	0.006684336	0.006003419	0.008116087
100	0.037291742	0.015250496	0.010709241	0.008286623	0.026187098
120	0.032803646	0.013984767	0.011241669	0.006323767	0.024013675
140	0.025737219	0.018581361	0.007139308	0.007598867	0.018517075
160	0.037812315	0.025033434	0.015463385	0.01277972	0.040949794
% ---
0	0.011010318	0.005758864	0.03901033	0.02335702	0.013508394
20	0.03742121	0.004186615	0.018775563	0.013602353	0.007758535
40	0.028458432	0.00401607	0.009322935	0.006546774	0.01903766
60	0.040246301	0.004661468	0.010858736	0.007188966	0.023195681
80	0.054598306	0.007839623	0.017762765	0.009453079	0.034434535
100	0.022718321	0.008032139	0.0078125	0.006777646	0.026369244
120	0.029462017	0.007704943	0.007213924	0.007238969	0.023683071
140	0.032240099	0.017886315	0.009957505	0.010972226	0.024518253
160	0.032017401	0.02351948	0.008974206	0.010561803	0.043134917
% ---
0	0.01067219	0.00489322	0.059954007	0.038740866	0.022250784
20	0.025382887	0.004534	0.03577263	0.055168937	0.011398596
40	0.016401823	0.001803481	0.013276328	0.01020203	0.011517728
60	0.015953314	0.003460029	0.011398596	0.006323767	0.016515907
80	0.021604865	0.003799433	0.010934265	0.009702014	0.026232516
100	0.013744517	0.004759415	0.008974206	0.007365504	0.018840747
120	0.014477938	0.006707542	0.006280086	0.005317633	0.018389168
140	0.014082038	0.01175974	0.005819053	0.00567958	0.016288528
160	0.021642335	0.013936383	0.010934265	0.011048543	0.022876339
